run_id,run_date,scheduled_at,completed_at,status,records_processed,exception_count
RUN0041,2026-02-10,2026-02-10T06:00:00,2026-02-10T06:18:00,success,351,8
RUN0042,2026-02-11,2026-02-11T06:00:00,2026-02-11T06:18:00,success,352,9
RUN0043,2026-02-12,2026-02-12T06:00:00,2026-02-12T06:18:00,success,353,10
RUN0044,2026-02-13,2026-02-13T06:00:00,2026-02-13T06:18:00,success,354,11
RUN0045,2026-02-14,2026-02-14T06:00:00,2026-02-14T06:18:00,success,355,3
RUN0046,2026-02-15,2026-02-15T06:00:00,2026-02-15T06:18:00,success,356,4
RUN0047,2026-02-16,2026-02-16T06:00:00,2026-02-16T06:18:00,success,357,5
RUN0048,2026-02-17,2026-02-17T06:00:00,2026-02-17T06:18:00,success,358,6
RUN0049,2026-02-18,2026-02-18T06:00:00,2026-02-18T06:18:00,success,359,7
RUN0050,2026-02-19,2026-02-19T06:00:00,2026-02-19T06:18:00,success,360,8
RUN0051,2026-02-20,2026-02-20T06:00:00,2026-02-20T06:18:00,success,361,9
RUN0052,2026-02-21,2026-02-21T06:00:00,2026-02-21T06:18:00,success,362,10
RUN0053,2026-02-22,2026-02-22T06:00:00,2026-02-22T06:18:00,success,363,11
RUN0054,2026-02-23,2026-02-23T06:00:00,2026-02-23T06:18:00,success,364,3
RUN0055,2026-02-24,2026-02-24T06:00:00,2026-02-24T06:18:00,success,310,4
RUN0056,2026-02-25,2026-02-25T06:00:00,2026-02-25T06:18:00,success,311,5
RUN0057,2026-02-26,2026-02-26T06:00:00,2026-02-26T09:05:00,success,312,6
RUN0058,2026-02-27,2026-02-27T06:00:00,2026-02-27T06:18:00,success,313,7
RUN0059,2026-02-28,2026-02-28T06:00:00,2026-02-28T06:18:00,success,314,8
RUN0060,2026-03-01,2026-03-01T06:00:00,2026-03-01T06:18:00,success,315,9
RUN0061,2026-03-02,2026-03-02T06:00:00,2026-03-02T06:18:00,success,316,10
RUN0062,2026-03-03,2026-03-03T06:00:00,2026-03-03T06:18:00,success,317,11
RUN0063,2026-03-04,2026-03-04T06:00:00,2026-03-04T06:18:00,success,318,3
RUN0064,2026-03-05,2026-03-05T06:00:00,2026-03-05T06:18:00,success,319,4
RUN0065,2026-03-06,2026-03-06T06:00:00,2026-03-06T06:18:00,success,320,5
RUN0066,2026-03-07,2026-03-07T06:00:00,2026-03-07T06:18:00,success,321,6
RUN0067,2026-03-08,2026-03-08T06:00:00,2026-03-08T06:18:00,success,322,7
RUN0068,2026-03-09,2026-03-09T06:00:00,2026-03-09T06:18:00,success,323,8
RUN0069,2026-03-10,2026-03-10T06:00:00,2026-03-10T06:18:00,success,324,9
RUN0070,2026-03-11,2026-03-11T06:00:00,2026-03-11T06:18:00,success,325,10
RUN0071,2026-03-12,2026-03-12T06:00:00,2026-03-12T06:18:00,success,326,11
RUN0072,2026-03-13,2026-03-13T06:00:00,2026-03-13T06:18:00,success,327,3
RUN0073,2026-03-14,2026-03-14T06:00:00,2026-03-14T06:18:00,success,328,4
RUN0074,2026-03-15,2026-03-15T06:00:00,2026-03-15T06:18:00,failed,329,17
RUN0075,2026-03-16,2026-03-16T06:00:00,2026-03-16T06:18:00,success,330,6
RUN0076,2026-03-17,2026-03-17T06:00:00,2026-03-17T09:05:00,success,331,7
RUN0077,2026-03-18,2026-03-18T06:00:00,2026-03-18T06:18:00,success,332,8
RUN0078,2026-03-19,2026-03-19T06:00:00,2026-03-19T06:18:00,success,333,9
RUN0079,2026-03-20,2026-03-20T06:00:00,2026-03-20T06:18:00,success,334,10
RUN0080,2026-03-21,2026-03-21T06:00:00,2026-03-21T06:18:00,success,335,11
RUN0081,2026-03-22,2026-03-22T06:00:00,2026-03-22T06:18:00,success,336,3
RUN0082,2026-03-23,2026-03-23T06:00:00,2026-03-23T06:18:00,success,337,4
RUN0083,2026-03-24,2026-03-24T06:00:00,2026-03-24T06:18:00,success,338,5
RUN0084,2026-03-25,2026-03-25T06:00:00,2026-03-25T06:18:00,success,339,6
RUN0085,2026-03-26,2026-03-26T06:00:00,2026-03-26T06:18:00,success,340,7
RUN0086,2026-03-27,2026-03-27T06:00:00,2026-03-27T06:18:00,success,341,8
RUN0087,2026-03-28,2026-03-28T06:00:00,2026-03-28T06:18:00,success,342,9
RUN0088,2026-03-29,2026-03-29T06:00:00,2026-03-29T06:18:00,success,343,10
RUN0089,2026-03-30,2026-03-30T06:00:00,2026-03-30T06:18:00,success,344,11
RUN0090,2026-03-31,2026-03-31T06:00:00,2026-03-31T06:18:00,success,345,3
RUN0091,2026-04-01,2026-04-01T06:00:00,2026-04-01T06:18:00,success,346,4
RUN0092,2026-04-02,2026-04-02T06:00:00,2026-04-02T06:18:00,success,347,5
RUN0093,2026-04-03,2026-04-03T06:00:00,2026-04-03T06:18:00,success,348,6
RUN0094,2026-04-04,2026-04-04T06:00:00,2026-04-04T06:18:00,success,349,7
RUN0095,2026-04-05,2026-04-05T06:00:00,2026-04-05T09:05:00,success,350,8
RUN0096,2026-04-06,2026-04-06T06:00:00,2026-04-06T06:18:00,success,351,9
RUN0097,2026-04-07,2026-04-07T06:00:00,2026-04-07T06:18:00,success,352,10
RUN0098,2026-04-08,2026-04-08T06:00:00,2026-04-08T06:18:00,success,353,11
RUN0099,2026-04-09,2026-04-09T06:00:00,2026-04-09T06:18:00,success,354,3
RUN0100,2026-04-10,2026-04-10T06:00:00,2026-04-10T06:18:00,success,355,4
RUN0101,2026-04-11,2026-04-11T06:00:00,2026-04-11T06:18:00,success,356,5
RUN0102,2026-04-12,2026-04-12T06:00:00,2026-04-12T06:18:00,success,357,6
RUN0103,2026-04-13,2026-04-13T06:00:00,2026-04-13T06:18:00,success,358,7
RUN0104,2026-04-14,2026-04-14T06:00:00,2026-04-14T06:18:00,success,359,8
RUN0105,2026-04-15,2026-04-15T06:00:00,2026-04-15T06:18:00,success,360,9
RUN0106,2026-04-16,2026-04-16T06:00:00,2026-04-16T06:18:00,success,361,10
RUN0107,2026-04-17,2026-04-17T06:00:00,2026-04-17T06:18:00,success,362,11
RUN0108,2026-04-18,2026-04-18T06:00:00,2026-04-18T06:18:00,success,363,3
RUN0109,2026-04-19,2026-04-19T06:00:00,2026-04-19T06:18:00,success,364,4
RUN0110,2026-04-20,2026-04-20T06:00:00,2026-04-20T06:18:00,success,310,5
RUN0111,2026-04-21,2026-04-21T06:00:00,2026-04-21T06:18:00,failed,311,18
RUN0112,2026-04-22,2026-04-22T06:00:00,2026-04-22T06:18:00,success,312,7
RUN0113,2026-04-23,2026-04-23T06:00:00,2026-04-23T06:18:00,success,313,8
RUN0114,2026-04-24,2026-04-24T06:00:00,2026-04-24T09:05:00,success,314,9
RUN0115,2026-04-25,2026-04-25T06:00:00,2026-04-25T06:18:00,success,315,10
RUN0116,2026-04-26,2026-04-26T06:00:00,2026-04-26T06:18:00,success,316,11
RUN0117,2026-04-27,2026-04-27T06:00:00,2026-04-27T06:18:00,success,317,3
RUN0118,2026-04-28,2026-04-28T06:00:00,2026-04-28T06:18:00,success,318,4
RUN0119,2026-04-29,2026-04-29T06:00:00,2026-04-29T06:18:00,success,319,5
RUN0120,2026-04-30,2026-04-30T06:00:00,2026-04-30T06:18:00,success,320,6
RUN0121,2026-05-01,2026-05-01T06:00:00,2026-05-01T06:18:00,success,321,7
RUN0122,2026-05-02,2026-05-02T06:00:00,2026-05-02T06:18:00,success,322,8
RUN0123,2026-05-03,2026-05-03T06:00:00,2026-05-03T06:18:00,success,323,9
RUN0124,2026-05-04,2026-05-04T06:00:00,2026-05-04T06:18:00,success,324,10
RUN0125,2026-05-05,2026-05-05T06:00:00,2026-05-05T06:18:00,success,325,11
RUN0126,2026-05-06,2026-05-06T06:00:00,2026-05-06T06:18:00,success,326,3
RUN0127,2026-05-07,2026-05-07T06:00:00,2026-05-07T06:18:00,success,327,4
RUN0128,2026-05-08,2026-05-08T06:00:00,2026-05-08T06:18:00,success,328,5
RUN0129,2026-05-09,2026-05-09T06:00:00,2026-05-09T06:18:00,success,329,6
RUN0130,2026-05-10,2026-05-10T06:00:00,2026-05-10T06:18:00,success,330,7
RUN0131,2026-05-11,2026-05-11T06:00:00,2026-05-11T06:18:00,success,331,8
RUN0132,2026-05-12,2026-05-12T06:00:00,2026-05-12T06:18:00,success,332,9
RUN0133,2026-05-13,2026-05-13T06:00:00,2026-05-13T09:05:00,success,333,10
RUN0134,2026-05-14,2026-05-14T06:00:00,2026-05-14T06:18:00,success,334,11
RUN0135,2026-05-15,2026-05-15T06:00:00,2026-05-15T06:18:00,success,335,3
RUN0136,2026-05-16,2026-05-16T06:00:00,2026-05-16T06:18:00,success,336,4
RUN0137,2026-05-17,2026-05-17T06:00:00,2026-05-17T06:18:00,success,337,5
RUN0138,2026-05-18,2026-05-18T06:00:00,2026-05-18T06:18:00,success,338,6
RUN0139,2026-05-19,2026-05-19T06:00:00,2026-05-19T06:18:00,success,339,7
RUN0140,2026-05-20,2026-05-20T06:00:00,2026-05-20T06:18:00,success,340,8
RUN0141,2026-05-21,2026-05-21T06:00:00,2026-05-21T06:18:00,success,341,9
RUN0142,2026-05-22,2026-05-22T06:00:00,2026-05-22T06:18:00,success,342,10
RUN0143,2026-05-23,2026-05-23T06:00:00,2026-05-23T06:18:00,success,343,11
RUN0144,2026-05-24,2026-05-24T06:00:00,2026-05-24T06:18:00,success,344,3
RUN0145,2026-05-25,2026-05-25T06:00:00,2026-05-25T06:18:00,success,345,4
RUN0146,2026-05-26,2026-05-26T06:00:00,2026-05-26T06:18:00,success,346,5
RUN0147,2026-05-27,2026-05-27T06:00:00,2026-05-27T06:18:00,success,347,6
RUN0148,2026-05-28,2026-05-28T06:00:00,2026-05-28T06:18:00,failed,348,19
RUN0149,2026-05-29,2026-05-29T06:00:00,2026-05-29T06:18:00,success,349,8
RUN0150,2026-05-30,2026-05-30T06:00:00,2026-05-30T06:18:00,success,350,9
RUN0151,2026-05-31,2026-05-31T06:00:00,2026-05-31T06:18:00,success,351,10
RUN0152,2026-06-01,2026-06-01T06:00:00,2026-06-01T09:05:00,success,352,11
RUN0153,2026-06-02,2026-06-02T06:00:00,2026-06-02T06:18:00,success,353,3
RUN0154,2026-06-03,2026-06-03T06:00:00,2026-06-03T06:18:00,success,354,4
RUN0155,2026-06-04,2026-06-04T06:00:00,2026-06-04T06:18:00,success,355,5
RUN0156,2026-06-05,2026-06-05T06:00:00,2026-06-05T06:18:00,success,356,6
RUN0157,2026-06-06,2026-06-06T06:00:00,2026-06-06T06:18:00,success,357,7
RUN0158,2026-06-07,2026-06-07T06:00:00,2026-06-07T06:18:00,success,358,8
RUN0159,2026-06-08,2026-06-08T06:00:00,2026-06-08T06:18:00,success,359,9
RUN0160,2026-06-09,2026-06-09T06:00:00,2026-06-09T06:18:00,success,360,10
RUN0161,2026-06-10,2026-06-10T06:00:00,2026-06-10T06:18:00,success,361,11
RUN0162,2026-06-11,2026-06-11T06:00:00,2026-06-11T06:18:00,success,362,3
RUN0163,2026-06-12,2026-06-12T06:00:00,2026-06-12T06:18:00,success,363,4
RUN0164,2026-06-13,2026-06-13T06:00:00,2026-06-13T06:18:00,success,364,5
RUN0165,2026-06-14,2026-06-14T06:00:00,2026-06-14T06:18:00,success,310,6
RUN0166,2026-06-15,2026-06-15T06:00:00,2026-06-15T06:18:00,success,311,7
RUN0167,2026-06-16,2026-06-16T06:00:00,2026-06-16T06:18:00,success,312,8
RUN0168,2026-06-17,2026-06-17T06:00:00,2026-06-17T06:18:00,success,313,9
RUN0169,2026-06-18,2026-06-18T06:00:00,2026-06-18T06:18:00,success,314,10
RUN0170,2026-06-19,2026-06-19T06:00:00,2026-06-19T06:18:00,success,315,11
RUN0171,2026-06-20,2026-06-20T06:00:00,2026-06-20T09:05:00,success,316,3
RUN0172,2026-06-21,2026-06-21T06:00:00,2026-06-21T06:18:00,success,317,4
RUN0173,2026-06-22,2026-06-22T06:00:00,2026-06-22T06:18:00,success,318,5
RUN0174,2026-06-23,2026-06-23T06:00:00,2026-06-23T06:18:00,success,319,6
RUN0175,2026-06-24,2026-06-24T06:00:00,2026-06-24T06:18:00,success,320,7
RUN0176,2026-06-25,2026-06-25T06:00:00,2026-06-25T06:18:00,success,321,8
RUN0177,2026-06-26,2026-06-26T06:00:00,2026-06-26T06:18:00,success,322,9
RUN0178,2026-06-27,2026-06-27T06:00:00,2026-06-27T06:18:00,success,323,10
RUN0179,2026-06-28,2026-06-28T06:00:00,2026-06-28T06:18:00,success,324,11
RUN0180,2026-06-29,2026-06-29T06:00:00,2026-06-29T06:18:00,success,325,3
