shipment_id,booked_date,carrier_id,origin,destination,region,planned_delivery_date,actual_delivery_date,miles,linehaul_usd,eta_missing_flag,pod_missing_flag,on_time_flag
SHP00097,2026-05-20,CAR002,Phoenix,Dallas,Southwest,2026-05-23,2026-05-23,1065,2479.21,0,0,1
SHP00098,2026-05-27,CAR003,Phoenix,Salt Lake City,West,2026-05-31,2026-05-31,664,1405.18,0,0,1
SHP00099,2026-06-03,CAR004,Scottsdale,Denver,Southwest,2026-06-08,2026-06-08,918,1661.96,0,0,1
SHP00100,2026-06-10,CAR005,Phoenix,Los Angeles,West,2026-06-12,2026-06-12,371,742.43,0,0,1
SHP00101,2026-06-17,CAR001,Tucson,Las Vegas,West,2026-06-20,2026-06-20,414,909.12,0,0,1
SHP00102,2026-06-24,CAR002,Phoenix,Dallas,Southwest,2026-06-28,2026-06-28,1065,2299.8,0,0,1
SHP00103,2026-01-02,CAR003,Phoenix,Salt Lake City,West,2026-01-07,2026-01-07,664,1305.94,0,0,1
SHP00104,2026-01-09,CAR004,Scottsdale,Denver,Southwest,2026-01-11,2026-01-11,918,1893.35,0,0,1
SHP00105,2026-01-16,CAR005,Phoenix,Los Angeles,West,2026-01-19,2026-01-19,371,794.89,0,0,1
SHP00106,2026-01-23,CAR001,Tucson,Las Vegas,West,2026-01-27,2026-01-27,414,795.9,0,0,1
SHP00107,2026-01-30,CAR002,Phoenix,Dallas,Southwest,2026-02-04,2026-02-04,1065,2377.03,0,0,1
SHP00108,2026-02-06,CAR003,Phoenix,Salt Lake City,West,2026-02-08,2026-02-08,664,1452.51,0,0,1
SHP00109,2026-02-13,CAR004,Scottsdale,Denver,Southwest,2026-02-16,2026-02-16,918,1737.67,0,0,1
SHP00110,2026-02-20,CAR005,Phoenix,Los Angeles,West,2026-02-24,2026-02-24,371,811.81,0,0,1
SHP00111,2026-02-27,CAR001,Tucson,Las Vegas,West,2026-03-04,2026-03-04,414,828.46,0,0,1
SHP00112,2026-03-06,CAR002,Phoenix,Dallas,Southwest,2026-03-08,2026-03-08,1065,1977.2,0,0,1
SHP00113,2026-03-13,CAR003,Phoenix,Salt Lake City,West,2026-03-16,2026-03-16,664,1178.84,0,0,1
SHP00114,2026-03-20,CAR004,Scottsdale,Denver,Southwest,2026-03-24,2026-03-24,918,1908.66,0,0,1
SHP00115,2026-03-27,CAR005,Phoenix,Los Angeles,West,2026-04-01,2026-04-01,371,860.71,0,0,1
SHP00116,2026-04-03,CAR001,Tucson,Las Vegas,West,2026-04-05,2026-04-05,414,977.57,0,0,1
SHP00117,2026-04-10,CAR002,Phoenix,Dallas,Southwest,2026-04-13,2026-04-13,1065,2321.99,0,0,1
SHP00118,2026-04-17,CAR003,Phoenix,Salt Lake City,West,2026-04-21,2026-04-21,664,1499.43,0,0,1
SHP00119,2026-04-24,CAR004,Scottsdale,Denver,Southwest,2026-04-29,2026-04-29,918,2053.81,0,0,1
SHP00120,2026-05-01,CAR005,Phoenix,Los Angeles,West,2026-05-03,2026-05-03,371,835.91,0,0,1
SHP00121,2026-05-08,CAR001,Tucson,Las Vegas,West,2026-05-11,2026-05-11,414,837.58,0,0,1
SHP00122,2026-05-15,CAR002,Phoenix,Dallas,Southwest,2026-05-19,2026-05-19,1065,2365.49,0,0,1
SHP00123,2026-05-22,CAR003,Phoenix,Salt Lake City,West,2026-05-27,2026-05-27,664,1518.13,0,0,1
SHP00124,2026-05-29,CAR004,Scottsdale,Denver,Southwest,2026-05-31,2026-06-01,918,1889.4,0,0,0
SHP00125,2026-06-05,CAR005,Phoenix,Los Angeles,West,2026-06-08,2026-06-08,371,864.64,0,0,1
SHP00126,2026-06-12,CAR001,Tucson,Las Vegas,West,2026-06-16,2026-06-16,414,892.7,0,0,1
SHP00127,2026-06-19,CAR002,Phoenix,Dallas,Southwest,2026-06-24,2026-06-24,1065,2552.57,0,0,1
SHP00128,2026-06-26,CAR003,Phoenix,Salt Lake City,West,2026-06-28,2026-06-28,664,1346.08,0,0,1
SHP00129,2026-01-04,CAR004,Scottsdale,Denver,Southwest,2026-01-07,2026-01-07,918,1977.84,0,0,1
SHP00130,2026-01-11,CAR005,Phoenix,Los Angeles,West,2026-01-15,2026-01-15,371,763.37,0,0,1
SHP00131,2026-01-18,CAR001,Tucson,Las Vegas,West,2026-01-23,2026-01-23,414,951.96,0,0,1
SHP00132,2026-01-25,CAR002,Phoenix,Dallas,Southwest,2026-01-27,2026-01-27,1065,2115.1,0,0,1
SHP00133,2026-02-01,CAR003,Phoenix,Salt Lake City,West,2026-02-04,2026-02-04,664,1510.78,0,0,1
SHP00134,2026-02-08,CAR004,Scottsdale,Denver,Southwest,2026-02-12,2026-02-12,918,1614.16,1,0,1
SHP00135,2026-02-15,CAR005,Phoenix,Los Angeles,West,2026-02-20,2026-02-20,371,761.7,0,0,1
SHP00136,2026-02-22,CAR001,Tucson,Las Vegas,West,2026-02-24,2026-02-24,414,895.45,0,0,1
SHP00137,2026-03-01,CAR002,Phoenix,Dallas,Southwest,2026-03-04,2026-03-04,1065,2407.68,0,0,1
SHP00138,2026-03-08,CAR003,Phoenix,Salt Lake City,West,2026-03-12,2026-03-12,664,1437.55,0,0,1
SHP00139,2026-03-15,CAR004,Scottsdale,Denver,Southwest,2026-03-20,2026-03-20,918,1774.95,0,0,1
SHP00140,2026-03-22,CAR005,Phoenix,Los Angeles,West,2026-03-24,2026-03-24,371,819.34,0,0,1
SHP00141,2026-03-29,CAR001,Tucson,Las Vegas,West,2026-04-01,2026-04-01,414,984.66,0,0,1
SHP00142,2026-04-05,CAR002,Phoenix,Dallas,Southwest,2026-04-09,2026-04-09,1065,2072.43,0,0,1
SHP00143,2026-04-12,CAR003,Phoenix,Salt Lake City,West,2026-04-17,2026-04-17,664,1511.94,0,0,1
SHP00144,2026-04-19,CAR004,Scottsdale,Denver,Southwest,2026-04-21,2026-04-21,918,1689.88,0,0,1
SHP00145,2026-04-26,CAR005,Phoenix,Los Angeles,West,2026-04-29,2026-04-29,371,730.26,0,0,1
SHP00146,2026-05-03,CAR001,Tucson,Las Vegas,West,2026-05-07,2026-05-07,414,796.22,0,0,1
SHP00147,2026-05-10,CAR002,Phoenix,Dallas,Southwest,2026-05-15,2026-05-15,1065,2035.92,0,0,1
SHP00148,2026-05-17,CAR003,Phoenix,Salt Lake City,West,2026-05-19,2026-05-19,664,1341.5,0,0,1
SHP00149,2026-05-24,CAR004,Scottsdale,Denver,Southwest,2026-05-27,2026-05-27,918,1751.85,0,0,1
SHP00150,2026-05-31,CAR005,Phoenix,Los Angeles,West,2026-06-04,2026-06-04,371,880.86,0,0,1
SHP00151,2026-06-07,CAR001,Tucson,Las Vegas,West,2026-06-12,2026-06-12,414,815.1,0,0,1
SHP00152,2026-06-14,CAR002,Phoenix,Dallas,Southwest,2026-06-16,2026-06-16,1065,2528.82,0,0,1
SHP00153,2026-06-21,CAR003,Phoenix,Salt Lake City,West,2026-06-24,2026-06-24,664,1248.47,0,0,1
SHP00154,2026-06-28,CAR004,Scottsdale,Denver,Southwest,2026-07-02,2026-07-02,918,1955.21,0,0,1
SHP00155,2026-01-06,CAR005,Phoenix,Los Angeles,West,2026-01-11,2026-01-11,371,729.68,0,0,1
SHP00156,2026-01-13,CAR001,Tucson,Las Vegas,West,2026-01-15,2026-01-15,414,981.56,0,0,1
SHP00157,2026-01-20,CAR002,Phoenix,Dallas,Southwest,2026-01-23,2026-01-23,1065,2537.53,0,0,1
SHP00158,2026-01-27,CAR003,Phoenix,Salt Lake City,West,2026-01-31,2026-01-31,664,1353.04,0,0,1
SHP00159,2026-02-03,CAR004,Scottsdale,Denver,Southwest,2026-02-08,2026-02-08,918,2165.28,0,0,1
SHP00160,2026-02-10,CAR005,Phoenix,Los Angeles,West,2026-02-12,2026-02-12,371,753.69,0,0,1
SHP00161,2026-02-17,CAR001,Tucson,Las Vegas,West,2026-02-20,2026-02-20,414,889.02,0,0,1
SHP00162,2026-02-24,CAR002,Phoenix,Dallas,Southwest,2026-02-28,2026-02-28,1065,2086.39,0,0,1
SHP00163,2026-03-03,CAR003,Phoenix,Salt Lake City,West,2026-03-08,2026-03-09,664,1328.1,0,0,0
SHP00164,2026-03-10,CAR004,Scottsdale,Denver,Southwest,2026-03-12,2026-03-12,918,1677.97,0,0,1
SHP00165,2026-03-17,CAR005,Phoenix,Los Angeles,West,2026-03-20,2026-03-20,371,827.92,0,0,1
SHP00166,2026-03-24,CAR001,Tucson,Las Vegas,West,2026-03-28,2026-03-28,414,810.31,0,1,1
SHP00167,2026-03-31,CAR002,Phoenix,Dallas,Southwest,2026-04-05,2026-04-05,1065,2238.85,0,0,1
SHP00168,2026-04-07,CAR003,Phoenix,Salt Lake City,West,2026-04-09,2026-04-09,664,1417.83,0,0,1
SHP00169,2026-04-14,CAR004,Scottsdale,Denver,Southwest,2026-04-17,2026-04-17,918,1839.44,0,0,1
SHP00170,2026-04-21,CAR005,Phoenix,Los Angeles,West,2026-04-25,2026-04-25,371,775.47,0,0,1
SHP00171,2026-04-28,CAR001,Tucson,Las Vegas,West,2026-05-03,2026-05-03,414,871.34,0,0,1
SHP00172,2026-05-05,CAR002,Phoenix,Dallas,Southwest,2026-05-07,2026-05-07,1065,2313.52,0,0,1
SHP00173,2026-05-12,CAR003,Phoenix,Salt Lake City,West,2026-05-15,2026-05-15,664,1329.35,0,0,1
SHP00174,2026-05-19,CAR004,Scottsdale,Denver,Southwest,2026-05-23,2026-05-23,918,1967.49,0,0,1
SHP00175,2026-05-26,CAR005,Phoenix,Los Angeles,West,2026-05-31,2026-06-01,371,687.96,0,0,0
SHP00176,2026-06-02,CAR001,Tucson,Las Vegas,West,2026-06-04,2026-06-04,414,741.57,0,0,1
SHP00177,2026-06-09,CAR002,Phoenix,Dallas,Southwest,2026-06-12,2026-06-13,1065,2545.25,0,0,0
SHP00178,2026-06-16,CAR003,Phoenix,Salt Lake City,West,2026-06-20,2026-06-20,664,1574.24,0,0,1
SHP00179,2026-06-23,CAR004,Scottsdale,Denver,Southwest,2026-06-28,2026-06-28,918,1667.05,0,0,1
SHP00180,2026-01-01,CAR005,Phoenix,Los Angeles,West,2026-01-03,2026-01-03,371,803.18,0,0,1
SHP00181,2026-01-08,CAR001,Tucson,Las Vegas,West,2026-01-11,2026-01-11,414,941.65,0,0,1
SHP00182,2026-01-15,CAR002,Phoenix,Dallas,Southwest,2026-01-19,2026-01-19,1065,2192.96,0,0,1
SHP00183,2026-01-22,CAR003,Phoenix,Salt Lake City,West,2026-01-27,2026-01-27,664,1350.15,0,0,1
SHP00184,2026-01-29,CAR004,Scottsdale,Denver,Southwest,2026-01-31,2026-01-31,918,1951.12,0,0,1
SHP00185,2026-02-05,CAR005,Phoenix,Los Angeles,West,2026-02-08,2026-02-08,371,787.54,0,0,1
SHP00186,2026-02-12,CAR001,Tucson,Las Vegas,West,2026-02-16,2026-02-16,414,893.21,0,0,1
SHP00187,2026-02-19,CAR002,Phoenix,Dallas,Southwest,2026-02-24,2026-02-24,1065,2188.35,0,0,1
SHP00188,2026-02-26,CAR003,Phoenix,Salt Lake City,West,2026-02-28,2026-02-28,664,1181.62,0,0,1
SHP00189,2026-03-05,CAR004,Scottsdale,Denver,Southwest,2026-03-08,2026-03-08,918,1719.14,0,0,1
SHP00190,2026-03-12,CAR005,Phoenix,Los Angeles,West,2026-03-16,2026-03-16,371,676.56,0,0,1
SHP00191,2026-03-19,CAR001,Tucson,Las Vegas,West,2026-03-24,2026-03-24,414,746.15,0,0,1
SHP00192,2026-03-26,CAR002,Phoenix,Dallas,Southwest,2026-03-28,2026-03-29,1065,2530.27,0,0,0
SHP00193,2026-04-02,CAR003,Phoenix,Salt Lake City,West,2026-04-05,2026-04-05,664,1244.77,0,0,1
SHP00194,2026-04-09,CAR004,Scottsdale,Denver,Southwest,2026-04-13,2026-04-13,918,2063.3,0,0,1
SHP00195,2026-04-16,CAR005,Phoenix,Los Angeles,West,2026-04-21,2026-04-21,371,877.14,0,0,1
SHP00196,2026-04-23,CAR001,Tucson,Las Vegas,West,2026-04-25,2026-04-25,414,982.86,0,0,1
SHP00197,2026-04-30,CAR002,Phoenix,Dallas,Southwest,2026-05-03,2026-05-03,1065,2533.5,0,0,1
SHP00198,2026-05-07,CAR003,Phoenix,Salt Lake City,West,2026-05-11,2026-05-11,664,1484.19,0,0,1
SHP00199,2026-05-14,CAR004,Scottsdale,Denver,Southwest,2026-05-19,2026-05-19,918,1999.08,0,0,1
SHP00200,2026-05-21,CAR005,Phoenix,Los Angeles,West,2026-05-23,2026-05-23,371,801.97,0,0,1
SHP00201,2026-05-28,CAR001,Tucson,Las Vegas,West,2026-05-31,2026-05-31,414,858.25,1,0,1
SHP00202,2026-06-04,CAR002,Phoenix,Dallas,Southwest,2026-06-08,2026-06-08,1065,2397.61,0,0,1
SHP00203,2026-06-11,CAR003,Phoenix,Salt Lake City,West,2026-06-16,2026-06-16,664,1456.48,0,0,1
SHP00204,2026-06-18,CAR004,Scottsdale,Denver,Southwest,2026-06-20,2026-06-20,918,1660.39,0,0,1
SHP00205,2026-06-25,CAR005,Phoenix,Los Angeles,West,2026-06-28,2026-06-28,371,713.32,0,0,1
SHP00206,2026-01-03,CAR001,Tucson,Las Vegas,West,2026-01-07,2026-01-07,414,972.53,0,0,1
SHP00207,2026-01-10,CAR002,Phoenix,Dallas,Southwest,2026-01-15,2026-01-15,1065,2285.05,0,0,1
SHP00208,2026-01-17,CAR003,Phoenix,Salt Lake City,West,2026-01-19,2026-01-20,664,1208.75,0,0,0
SHP00209,2026-01-24,CAR004,Scottsdale,Denver,Southwest,2026-01-27,2026-01-27,918,1648.36,0,0,1
SHP00210,2026-01-31,CAR005,Phoenix,Los Angeles,West,2026-02-04,2026-02-05,371,881.09,0,0,0
SHP00211,2026-02-07,CAR001,Tucson,Las Vegas,West,2026-02-12,2026-02-12,414,742.7,0,0,1
SHP00212,2026-02-14,CAR002,Phoenix,Dallas,Southwest,2026-02-16,2026-02-16,1065,2132.64,0,0,1
SHP00213,2026-02-21,CAR003,Phoenix,Salt Lake City,West,2026-02-24,2026-02-24,664,1280.52,0,0,1
SHP00214,2026-02-28,CAR004,Scottsdale,Denver,Southwest,2026-03-04,2026-03-05,918,2011.77,0,0,0
SHP00215,2026-03-07,CAR005,Phoenix,Los Angeles,West,2026-03-12,2026-03-12,371,708.78,0,0,1
SHP00216,2026-03-14,CAR001,Tucson,Las Vegas,West,2026-03-16,2026-03-16,414,788.11,0,0,1
SHP00217,2026-03-21,CAR002,Phoenix,Dallas,Southwest,2026-03-24,2026-03-24,1065,2497.57,0,0,1
SHP00218,2026-03-28,CAR003,Phoenix,Salt Lake City,West,2026-04-01,2026-04-01,664,1430.63,0,0,1
SHP00219,2026-04-04,CAR004,Scottsdale,Denver,Southwest,2026-04-09,2026-04-09,918,1964.99,0,0,1
SHP00220,2026-04-11,CAR005,Phoenix,Los Angeles,West,2026-04-13,2026-04-13,371,769.04,0,0,1
SHP00221,2026-04-18,CAR001,Tucson,Las Vegas,West,2026-04-21,2026-04-21,414,781.96,0,0,1
SHP00222,2026-04-25,CAR002,Phoenix,Dallas,Southwest,2026-04-29,2026-04-30,1065,2488.32,0,0,0
SHP00223,2026-05-02,CAR003,Phoenix,Salt Lake City,West,2026-05-07,2026-05-08,664,1530.65,0,0,0
SHP00224,2026-05-09,CAR004,Scottsdale,Denver,Southwest,2026-05-11,2026-05-11,918,1734.54,0,0,1
SHP00225,2026-05-16,CAR005,Phoenix,Los Angeles,West,2026-05-19,2026-05-19,371,670.06,0,0,1
SHP00226,2026-05-23,CAR001,Tucson,Las Vegas,West,2026-05-27,2026-05-27,414,882.04,0,0,1
SHP00227,2026-05-30,CAR002,Phoenix,Dallas,Southwest,2026-06-04,2026-06-04,1065,2455.86,0,0,1
SHP00228,2026-06-06,CAR003,Phoenix,Salt Lake City,West,2026-06-08,2026-06-09,664,1218.4,0,0,0
SHP00229,2026-06-13,CAR004,Scottsdale,Denver,Southwest,2026-06-16,2026-06-16,918,2046.33,0,0,1
